Data_dostarczenia	Imie	Nazwisko	Liczba_kilogramow
2017-01-27	Malgorzata	Karlowski	23
2017-01-27	Wieslawa	Biczysko	4
2017-01-27	Sofia	Felisiak	52
2017-01-30	Laura	Chmielewska	7
2017-01-30	Filip	Strack	33
2017-01-30	Adela	Waruszewska	55
2017-01-30	Inez	Nahaj	13
2017-01-30	Zenon	Bartek	2
2017-01-30	Karol	Felisiak	19
2017-01-30	Wojciech	Wroblewski	28
2017-01-30	Ewa	Nowicka	43
2017-01-30	Irena	Banasiewicz	20
2017-01-30	Beata	Fles	22
2017-01-30	Ewa	Czerwinska	9
2017-01-31	Maja	Kulkowska	26
2017-01-31	Marek	Leoniuk	38
2017-01-31	Anna	Wilk	40
2017-01-31	Natalia	Miklis	56
2017-01-31	Krzysztof	Figurski	18
2017-01-31	Maria	Borowska	14
2017-01-31	Ewa	Aderek	16
2017-01-31	Joanna	Pilc	41
2017-01-31	Damian	Pilis	52
2017-01-31	Maria	Gatek	50
2017-01-31	Hanna	Modlinska	34
2017-02-01	Anna	Janowska	17
2017-02-01	Katarzyna	Wip	3
2017-02-01	Henryk	Polarek	3
2017-02-01	Anita	Woloszyn	26
2017-02-01	Malwina	Korzeniowska	3
2017-02-01	Marcel	Labuda	20
2017-02-01	Olgierd	Baranek	23
2017-02-01	Luiza	Makowska	24
2017-02-01	Andrea	Witkowska	17
2017-02-01	Lena	Marzec	6
2017-02-01	Janusz	Artowski	47
2017-02-02	Kamila	Wolan	25
2017-02-02	Inka	Sochacka	20
2017-02-02	Alina	Warta	6
2017-02-02	Adam	Zega	16
2017-02-02	Henryk	Siminski	16
2017-02-02	Irena	Piotrowska	8
2017-02-02	Malgorzata	Karlowski	17
2017-02-02	Jakub	Bracik	8
2017-02-02	Maciej	Lyszcz	29
2017-02-02	Pawel	Nowak	43
2017-02-02	Michalina	Klebba	17
2017-02-03	Bartosz	Protasow	29
2017-02-03	Edward	Zdunek	7
2017-02-03	Joanna	Zygmunt	16
2017-02-03	Krzysztof	Figurski	3
2017-02-03	Maja	Kulkowska	26
2017-02-03	Maria	Kowalczuk	5
2017-02-03	Jakub	Ropiak	16
2017-02-03	Piotr	Kania	19
2017-02-03	Witold	Sempa	13
2017-02-03	Pawel	Macherzynski	8
2017-02-03	Krzysztof	Czyz	13
2017-02-06	Krzysztof	Wilecki	25
2017-02-06	Zbigniew	Paderewski	25
2017-02-06	Bartosz	Tusinski	56
2017-02-06	Sabina	Wilk	3
2017-02-06	Marta	Wloczkow	18
2017-02-06	Bartosz	Tusinski	14
2017-02-06	Cyprian	Swierszcz	5
2017-02-06	Anita	Tych	3
2017-02-06	Piotr	Kaleta	27
2017-02-06	Konrad	Lipowski	28
2017-02-06	Wojciech	Filipowicz	2
2017-02-07	Marcel	Labuda	29
2017-02-07	Antoni	Pawlus	54
2017-02-07	Tadeusz	Stoch	4
2017-02-07	Krzysztof	Dwa	29
2017-02-07	Lukasz	Kopecki	22
2017-02-07	Krzysztof	Dwa	6
2017-02-07	Aleks	Wojcik	7
2017-02-07	Dominika	Mierny	21
2017-02-07	Jakub	Waniek	19
2017-02-07	Bohdan	Gigant	8
2017-02-07	Jakub	Jedruszek	2
2017-02-08	Henryk	Siminski	45
2017-02-08	Natalia	Wolny	3
2017-02-08	Olaf	Hrywniak	36
2017-02-08	Natalia	Wolny	9
2017-02-08	Agata	Zdrojewska	24
2017-02-08	Barbara	Podobinska	5
2017-02-08	Kornel	Mierzejewski	22
2017-02-08	Konrad	Jagielski	9
2017-02-08	Anna	Tomaszewska	6
2017-02-08	Anastazja	Borowska	9
2017-02-08	Dominika	Wierzbicka	19
2017-02-09	Martyna	Marmelowska	14
2017-02-09	Krystyna	Szybki	44
2017-02-09	Pawel	Furmaniak	38
2017-02-09	Malgorzata	Malec	18
2017-02-09	Marek	Leoniuk	51
2017-02-09	Marek	Witkowski	10
2017-02-09	Malgorzata	Winiarska	47
2017-02-09	Marek	Janowski	54
2017-02-09	Ewa	Stoch	32
2017-02-09	Zenon	Zbych	16
2017-02-09	Julia	Salanowska	18
2017-02-10	Nadia	Jêdrzejczak	38
2017-02-10	Milena	Karolewska	7
2017-02-10	Izabela	Skrzydlak	16
2017-02-10	Anita	Kaczorowska	42
2017-02-10	Maksymilian	Piwko	27
2017-02-10	Maciej	Laskowski	19
2017-02-10	Henryk	Polarek	37
2017-02-10	Marzena	Gajek	49
2017-02-10	Kamil	Ludziejewski	38
2017-02-10	Adelajda	Zylinska	8
2017-02-10	Lena	Miszkin	9
2017-02-13	Janusz	Artowski	48
2017-02-13	Kamila	Wolan	19
2017-02-13	Mateusz	Polak	5
2017-02-13	Jan	Zdunski	25
2017-02-13	Zenon	Bartek	21
2017-02-13	Wiera	Nowak	6
2017-02-13	Dominika	Piotrowska	4
2017-02-13	Ilona	Nowak	9
2017-02-13	Karol	Felisiak	10
2017-02-13	Dominika	Mierny	26
2017-02-13	Maciej	Laskowski	26
2017-02-14	Adam	Zmurko	42
2017-02-14	Krystyna	Szybki	8
2017-02-14	Filip	Strehlke	8
2017-02-14	Janina	Podlaska	45
2017-02-14	Marcin	Tabaka	41
2017-02-14	Barbara	Bury	5
2017-02-14	Aleksandra	Donata	54
2017-02-14	Maria	Gatek	6
2017-02-14	Lidia	Goluchowska	3
2017-02-14	Mateusz	Sardo	49
2017-02-14	Jakub	Waniek	19
2017-02-15	Marek	Wolicki	29
2017-02-15	Ilona	Gorska	14
2017-02-15	Joanna	Ottka	12
2017-02-15	Arleta	Pawlik	4
2017-02-15	Malgorzata	Karlowski	14
2017-02-15	Szymon	Mrozniak	12
2017-02-15	Karolina	Wrak	52
2017-02-15	Igor	Rybinski	9
2017-02-15	Jakub	Marszalek	13
2017-02-15	Ryszarda	Januszek	29
2017-02-15	Bruno	Tomaszewski	18
2017-02-16	Karolina	Wrona	17
2017-02-16	Malgorzata	Kozlowska	9
2017-02-16	Jan	Kaczorowski	20
2017-02-16	Maciej	Kopacz	50
2017-02-16	Monika	Placzek	9
2017-02-16	Jan	Zdunski	4
2017-02-16	Jakub	Rêczmin	41
2017-02-16	Agata	Zdrojewska	11
2017-02-16	Natalia	Belicka	22
2017-02-16	Andrzej	Augustowski	23
2017-02-16	Stanislaw	Burza	33
2017-02-17	Mateusz	Krawczyk	14
2017-02-17	Borys	Winiarski	28
2017-02-17	Agnieszka	Matusik	12
2017-02-17	Jacek	Szypulski	55
2017-02-17	Lena	Mazurkiewicz	27
2017-02-17	Szymon	Polak	12
2017-02-17	Wojciech	Maja	50
2017-02-17	Milena	Karolewska	23
2017-02-17	Ewa	Zak	24
2017-02-17	Hubert	Pieczatowski	29
2017-02-17	Kamil	Ludziejewski	25
2017-02-20	Pawel	Bolkowski	17
2017-02-20	Agnieszka	Kaminska	5
2017-02-20	Mateusz	Kowalczyk	12
2017-02-20	Sabina	Wilk	31
2017-02-20	Maciej	Machol	7
2017-02-20	Krzysztof	Las	26
2017-02-20	Jan	Sznuk	28
2017-02-20	Zuzanna	Malicki	19
2017-02-20	Agata	Zdrojewska	3
2017-02-20	Adam	Susel	12
2017-02-20	Zuzanna	Kalisz	11
2017-02-21	Kamila	Wolan	29
2017-02-21	Wieslawa	Krawiec	4
2017-02-21	Aleksander	Pasternak	2
2017-02-21	Jakub	Porydzaj	45
2017-02-21	Filip	Stanulewicz	46
2017-02-21	Kacper	Niec	21
2017-02-21	Tomasz	Boruta	24
2017-02-21	Ewa	Milion	53
2017-02-21	Kacper	Nikolajew	45
2017-02-21	Patrycja	Dzban	56
2017-02-21	Mateusz	Uklej	28
2017-02-22	Aleksander	Pasternak	45
2017-02-22	Jakub	Rembiewski	43
2017-02-22	Ewa	Tysz	6
2017-02-22	Emilia	Szczepanska	5
2017-02-22	Marcelina	Serwicka	47
2017-02-22	Piotr	Polkowicki	6
2017-02-22	Edward	Zdunek	55
2017-02-22	Alicja	Gadek	37
2017-02-22	Wojciech	Filipowicz	10
2017-02-22	Jerzy	Czajkowski	39
2017-02-22	Monika	Nowaczkiewicz	23
2017-02-23	Marta	Robak	19
2017-02-23	Ewa	Zak	28
2017-02-23	Wojciech	Katowicki	2
2017-02-23	Marek	Bednarski	6
2017-02-23	Daria	Mikos	26
2017-02-23	Diana	Michalska	55
2017-02-23	Wiktor	Lubelski	52
2017-02-23	Szymon	Wozniak	55
2017-02-23	Matylda	Kluziak	15
2017-02-23	Jacek	Chojnacki	44
2017-02-23	Marta	Opolska	28
2017-02-24	Dorota	Gumowska	19
2017-02-24	Karolina	Wrona	20
2017-02-24	Kazimierz	Bartosik	24
2017-02-24	Julia	Kielecka	8
2017-02-24	Patrycja	Rzeszowska	8
2017-02-24	Andrea	Witkowska	18
2017-02-24	Bartosz	Protasow	26
2017-02-24	Hubert	Pieczatowski	5
2017-02-24	Beata	Lubelska	39
2017-02-24	Patrycja	Rzeszowska	13
2017-02-24	Bohdan	Gigant	52
2017-02-27	Kacper	Okla	21
2017-02-27	Mateusz	Kaczorowski	50
2017-02-27	Adrian	Yuksek	17
2017-02-27	Renata	Pawlak	45
2017-02-27	Krzysztof	Micun	10
2017-02-27	Patryk	Glac	24
2017-02-27	Julia	Salanowska	7
2017-02-27	Katarzyna	Dzielna	30
2017-02-27	Ewa	Tarnowska	41
2017-02-27	Zuzanna	Kalisz	22
2017-02-27	Ilona	Lukaszewska	18
2017-02-28	Jan	Gacek	9
2017-02-28	Wieslawa	Koniec	19
2017-02-28	Maciej	Lyszcz	16
2017-02-28	Dominik	Szmitko	27
2017-02-28	Julian	Lisowski	13
2017-02-28	Irena	Banasiewicz	44
2017-02-28	Mariusz	Brydzinski	16
2017-02-28	Adela	Waruszewska	13
2017-02-28	Patrycja	Grzeszcz	42
2017-02-28	Witold	Sempa	28
2017-02-28	Patryk	Geszczynski	54
2017-03-01	Aleksandra	Kwas	40
2017-03-01	Maciej	Tasz	19
2017-03-01	Mariusz	Brydzinski	18
2017-03-01	Kacper	Niec	24
2017-03-01	Karol	Wojciechowski	25
2017-03-01	Marcin	Gizinski	7
2017-03-01	Julia	Stuhr	52
2017-03-01	Maciej	Czyzynski	23
2017-03-01	Witold	Sempa	45
2017-03-01	Patryk	Glac	12
2017-03-01	Jakub	Przestrzelski	25
2017-03-02	Joanna	Kopacki	4
2017-03-02	Jakub	Holmes	10
2017-03-02	Hubert	Pieczatowski	23
2017-03-02	Wiktoria	Wilk	56
2017-03-02	Filip	Strack	38
2017-03-02	Albert	Pleszewski	27
2017-03-02	Pawel	Furmaniak	28
2017-03-02	Piotr	Kaleta	8
2017-03-02	Maria	Opolska	39
2017-03-02	Balbina	Madej	4
2017-03-02	Seweryn	Krakowski	56
2017-03-03	Maria	Kowalczyk	33
2017-03-03	Adrian	Baran	53
2017-03-03	Nikodem	Jama	26
2017-03-03	Anna	Babiarz	27
2017-03-03	Julia	Wolska	49
2017-03-03	Daria	Pawiec	20
2017-03-03	Ilona	Lukaszewska	7
2017-03-03	Joanna	Janas	3
2017-03-03	Joanna	Sibiga	47
2017-03-03	Krzysztof	Las	48
2017-03-03	Ryszard	Matusik	24
2017-03-06	Marek	Sznuk	33
2017-03-06	Anna	Babiarz	20
2017-03-06	Daria	Zagrobna	35
2017-03-06	Lukasz	Niedziela	10
2017-03-06	Borys	Biedal	43
2017-03-06	Kamila	Bialkowska	15
2017-03-06	Ilona	Gorska	8
2017-03-06	Karol	Dziuk	20
2017-03-06	Michal	Nowicki	35
2017-03-06	Henryk	Siminski	26
2017-03-06	Teodor	Olszewski	39
2017-03-07	Mateusz	Karpowicz	52
2017-03-07	Karolina	Wrona	13
2017-03-07	Jan	Kaczorowski	16
2017-03-07	Joanna	Wrobel	17
2017-03-07	Sofia	Felisiak	7
2017-03-07	Daria	Pawiec	48
2017-03-07	Mateusz	Kornatowski	20
2017-03-07	Mateusz	Filipowicz	3
2017-03-07	Ewa	Aderek	22
2017-03-08	Ewa	Milion	14
2017-03-08	Jacek	Szypulski	17
2017-03-08	Maciej	Machalski	3
2017-03-08	Angelika	Walaszek	10
2017-03-08	Malgorzata	Karlowski	14
2017-03-08	Kacper	Nikolajew	3
2017-03-08	Joanna	Ottka	22
2017-03-08	Jan	Pistek	11
2017-03-08	Daria	Mikos	7
2017-03-09	Ewa	Stoch	13
2017-03-09	Anna	Klimas	47
2017-03-09	Jacek	Ciosinski	22
2017-03-09	Mateusz	Krynicki	10
2017-03-09	Antoni	Wizniewski	38
2017-03-09	Anna	Zaczyk	48
2017-03-09	Bartosz	Mazgaj	9
2017-03-09	Maria	Galas	6
2017-03-09	Emilia	Mroczek	13
2017-03-10	Mateusz	Uklej	30
2017-03-10	Adam	Borkowski	3
2017-03-10	Maja	Lipka	8
2017-03-10	Malgorzata	Karlowski	12
2017-03-10	Balbina	Madej	14
2017-03-10	Angelika	Walaszek	4
2017-03-10	Sandra	Filarska	5
2017-03-10	Krzysztof	Wloch	13
2017-03-10	Maciej	Bugaj	9
2017-03-13	Mateusz	Mrowczynski	14
2017-03-13	Marek	Zybert	19
2017-03-13	Inka	Sochacka	21
2017-03-13	Joanna	Zygmunt	5
2017-03-13	Lukasz	Kot	18
2017-03-13	Anna	Kosowicz	4
2017-03-13	Tomasz	Hajdi	34
2017-03-13	Piotr	Bialaszewski	7
2017-03-13	Zofia	Broukin	41
2017-03-14	Marta	Opolska	10
2017-03-14	Ewa	Tysz	42
2017-03-14	Malgorzata	Winiarska	10
2017-03-14	Barbara	Karcz	4
2017-03-14	Nikodem	Jama	17
2017-03-14	Justyna	Pozarzycka	29
2017-03-14	Jan	Marasek	6
2017-03-14	Agata	Kwiatkowska	12
2017-03-14	Karolina	Mikos	14
2017-03-15	Marek	Chorzowski	28
2017-03-15	Ewelina	Goslawska	19
2017-03-15	Ewa	Augustowska	30
2017-03-15	Stanislaw	Janiec	54
2017-03-15	Ewelina	Gorecka	21
2017-03-15	Agnieszka	Kaminska	10
2017-03-15	Mateusz	Mrowczynski	25
2017-03-15	Piotr	Kania	5
2017-03-15	Maciej	Siemiatkowski	12
2017-03-16	Krzysztof	Dwa	24
2017-03-16	Lena	Miszkin	11
2017-03-16	Piotr	Duszota	37
2017-03-16	Malgorzata	Malec	26
2017-03-16	Grzegorz	Wojtowicz	3
2017-03-16	Iwona	Lato	52
2017-03-16	Katarzyna	Wip	24
2017-03-16	Maja	Kaminska	43
2017-03-16	Wojciech	Gocyla	54
2017-03-16	Kamil	Naderka	42
2017-03-17	Eugenia	Pieta	10
2017-03-17	Monika	Nowaczkiewicz	40
2017-03-17	Julia	Saska	16
2017-03-17	Zbigniew	Maciag	27
2017-03-17	Agata	Kwiatkowska	14
2017-03-17	Ewelina	Gorecka	5
2017-03-17	Maria	Gatek	23
2017-03-17	Bartosz	Mazgaj	17
2017-03-17	Karolina	Pawelska	54
2017-03-17	Roman	Grodecki	24
2017-03-20	Kinga	Trawinska	19
2017-03-20	Monika	Lis	17
2017-03-20	Karol	Pawleczek	20
2017-03-20	Karolina	Welc	42
2017-03-20	Piotr	Bialaszewski	14
2017-03-20	Agnieszka	Bujak	10
2017-03-20	Piotr	Mozart	24
2017-03-20	Mateusz	Filipowicz	10
2017-03-20	Lukasz	Kopecki	17
2017-03-20	Agata	Zgoda	4
2017-03-21	Anna	Dab	30
2017-03-21	Bruno	Tomaszewski	13
2017-03-21	Pawel	Furmaniak	8
2017-03-21	Anna	Wnuk	21
2017-03-21	Radoslaw	Sowinska	7
2017-03-21	Mateusz	Kowalczyk	13
2017-03-21	Karol	Walasz	19
2017-03-21	Wojciech	Filipowicz	47
2017-03-21	Janina	Podlaska	15
2017-03-21	Janina	Kaczynska	50
2017-03-22	Bogdan	Inny	10
2017-03-22	Henryk	Polarek	21
2017-03-22	Dominika	Szwec	7
2017-03-22	Marek	Witkowski	13
2017-03-22	Filip	Spychala	27
2017-03-22	Hanna	Stankiewicz	23
2017-03-22	Filip	Spychala	18
2017-03-22	Malgorzata	Kozlowska	16
2017-03-22	Jan	Zdunski	21
2017-03-22	Kacper	Okla	17
2017-03-23	Maciej	Machalski	21
2017-03-23	Izabela	Sobota	19
2017-03-23	Kacper	Nikolajew	24
2017-03-23	Nikodem	Jablonski	16
2017-03-23	Ewaryst	Zdunek	8
2017-03-23	Monika	Piterka	27
2017-03-23	Kacper	Niec	25
2017-03-23	Piotr	Kania	10
2017-03-23	Katarzyna	Galazka	11
2017-03-23	Antoni	Wierzbicki	3
2017-03-24	Agnieszka	Bujak	15
2017-03-24	Ewa	Tysz	14
2017-03-24	Anna	Trojanowska	37
2017-03-24	Andrzej	Nawwrot	22
2017-03-24	Bartosz	Tusinski	5
2017-03-24	Maciej	Nowak	29
2017-03-24	Daria	Zagrobna	25
2017-03-24	Maria	Adamska	52
2017-03-24	Dawid	Szreder	2
2017-03-24	Hanna	Stanislawska	27
2017-03-27	Justyna	Pozarzycka	43
2017-03-27	Aleks	Wojcik	23
2017-03-27	Lidia	Goluchowska	19
2017-03-27	Balbina	Madej	36
2017-03-27	Patrycja	Rzeszowska	26
2017-03-27	Przemyslaw	Widawski	24
2017-03-27	Kamil	Krawczyk	5
2017-03-27	Jakub	Porydzaj	53
2017-03-27	Katarzyna	Galazka	18
2017-03-27	Piotr	Mozart	15
2017-03-28	Natalia	Knap	20
2017-03-28	Joanna	Banaszczyk	34
2017-03-28	Adrian	Zawisza	35
2017-03-28	Jan	Gumowski	29
2017-03-28	Nikodem	Jablonski	7
2017-03-28	Marta	Robak	10
2017-03-28	Ignacy	Sarnowski	14
2017-03-28	Magdalena	Bach	23
2017-03-28	Monika	Lis	26
2017-03-28	Kamila	Wolan	2
2017-03-29	Kamil	Wolny	36
2017-03-29	Kamil	Szyszko	18
2017-03-29	Jan	Nancki	23
2017-03-29	Przemyslaw	Widawski	20
2017-03-29	Karolina	Wrak	16
2017-03-29	Waldemar	Fornalik	7
2017-03-29	Bernard	Lubelski	47
2017-03-29	Lukasz	Pawlik	9
2017-03-29	Barbara	Kilarski	11
2017-03-29	Protazy	Warszawski	12
2017-03-30	Aleksander	Koc	2
2017-03-30	Kamila	Wolan	23
2017-03-30	Alicja	Gadek	52
2017-03-30	Karol	Wojciechowski	10
2017-03-30	Andrzej	Tysz	47
2017-03-30	Ewaryst	Zdunek	20
2017-03-30	Maciej	Czyzynski	3
2017-03-30	Monika	Trojan	9
2017-03-30	Mariusz	Suszyn	22
2017-03-30	Anna	Tomaszewska	9
2017-03-31	Marek	Witkowski	30
2017-03-31	Lech	Lisowski	18
2017-03-31	Maciej	Kowalski	55
2017-03-31	Borys	Winiarski	17
2017-03-31	Mateusz	Hajdug	30
2017-03-31	Dawid	Szreder	4
2017-03-31	Lidia	Goluchowska	21
2017-03-31	Klaudia	Myk	7
2017-03-31	Jakub	Jedruszek	20
2017-03-31	Milena	Karolewska	6
2017-04-03	Janusz	Baka	12
2017-04-03	Marta	Robak	29
2017-04-03	Janusz	Wrobel	2
2017-04-03	Adam	Zmurko	27
2017-04-03	Patrycja	Wcislo	9
2017-04-03	Joanna	Wrobel	25
2017-04-03	Maja	Kurowska	45
2017-04-03	Piotr	Walec	12
2017-04-03	Izabella	Jelen	44
2017-04-03	Wieslawa	Nowak	18
2017-04-04	Natalia	Olkuska	16
2017-04-04	Witold	Sempa	18
2017-04-04	Wiktoria	Wilk	6
2017-04-04	Inez	Nahaj	17
2017-04-04	Anna	Janowska	18
2017-04-04	Magdalena	Bach	4
2017-04-04	Agata	Kwiatkowska	13
2017-04-04	Marta	Wloczkow	52
2017-04-04	Jan	Marasek	10
2017-04-04	Marek	Bednarski	33
2017-04-05	Dominik	Szczucki	6
2017-04-05	Ewa	Czerwinska	21
2017-04-05	Zuzanna	Malicki	2
2017-04-05	Barbara	Karcz	16
2017-04-05	Lukasz	Kot	23
2017-04-05	Lukasz	Czarnecki	50
2017-04-05	Andrzej	Augustowski	26
2017-04-05	Morus	Jasiak	42
2017-04-05	Julianna	Procinska	39
2017-04-06	Maciej	Tasz	17
2017-04-06	Agnieszka	Kaminska	10
2017-04-06	Dawid	Szreder	13
2017-04-06	Protazy	Warszawski	7
2017-04-06	Wojciech	Katowicki	32
2017-04-06	Wieslawa	Krawiec	16
2017-04-06	Adrian	Wozniak	38
2017-04-06	Anita	Woloszyn	10
2017-04-07	Nikodem	Jakubowski	19
2017-04-07	Zofia	Broukin	17
2017-04-07	Adelajda	Zylinska	2
2017-04-07	Leslaw	Kupis	15
2017-04-07	Adela	Waruszewska	12
2017-04-07	Pawel	Furmaniak	25
