Id_harcerza;Imie;Nazwisko;Druzyna
H178;Leszek;Pleszewski;Jaworzyna
H179;Grazyna;Tyndyk;Bukowina
H180;Janusz;Golos;Wierchy
H181;Agnieszka;Kaczmarczyk;Zawisza
H182;Maria;Szymczyk;Bukowina
H183;Jolanta;Berak;Plomien
H184;Krzysztof;Bartodziej;Wierchy
H185;Borys;Krol;Jaworzyna
H186;Dorota;Cieslak;Jaworzyna
H187;Maryla;Leszczynska;Bukowina
