nr_telefonu	data_godz_polaczenia	nr_pytania	odp
580833489	2017-06-05 07:36	1	B
654692587	2017-06-05 07:45	6	C
766256726	2017-06-05 08:22	2	C
670582908	2017-06-05 09:37	4	A
495291166	2017-06-05 10:15	5	A
456754712	2017-06-05 11:51	5	B
421153691	2017-06-05 15:12	6	C
906605372	2017-06-05 15:15	2	B
511191374	2017-06-05 16:24	5	C
456754712	2017-06-05 17:10	3	C
479537587	2017-06-05 17:21	6	A
421153691	2017-06-05 18:20	5	A
546989206	2017-06-05 18:35	1	C
511191374	2017-06-05 20:02	3	B
546989206	2017-06-05 22:07	2	B
599674070	2017-06-06 01:29	6	C
515507348	2017-06-06 02:13	2	C
947791832	2017-06-06 04:27	2	C
652007245	2017-06-06 06:23	1	A
543292172	2017-06-06 07:07	4	B
422785214	2017-06-06 08:08	5	C
455337641	2017-06-06 08:59	5	C
502418125	2017-06-06 09:36	4	A
670177762	2017-06-06 10:00	1	A
449386970	2017-06-06 11:38	1	B
834812184	2017-06-06 12:00	3	B
730479543	2017-06-06 13:39	3	C
408900499	2017-06-06 14:05	3	C
971924080	2017-06-06 14:52	3	C
610968833	2017-06-06 15:00	4	A
925971805	2017-06-06 16:39	5	B
589043879	2017-06-06 18:52	1	C
565021598	2017-06-06 19:42	5	A
597514859	2017-06-06 20:43	2	A
748479317	2017-06-06 21:02	2	B
700352103	2017-06-06 22:48	1	B
438645738	2017-06-06 22:58	5	C
592008600	2017-06-07 00:08	1	C
549143211	2017-06-07 01:01	4	C
684097956	2017-06-07 02:14	4	C
636289590	2017-06-07 04:21	4	A
983520611	2017-06-07 05:16	6	B
762138964	2017-06-07 07:12	5	C
707373053	2017-06-07 08:33	5	C
587330211	2017-06-07 10:36	2	A
548875001	2017-06-07 12:11	4	A
788968632	2017-06-07 14:18	4	B
735101463	2017-06-07 15:00	2	A
709848261	2017-06-07 15:16	1	B
695453881	2017-06-07 15:44	4	B
629273399	2017-06-07 15:45	5	C
737594619	2017-06-07 16:04	3	C
517317350	2017-06-07 17:29	3	C
709965002	2017-06-07 17:52	6	C
839612566	2017-06-07 18:58	6	A
652640182	2017-06-07 19:20	3	A
437051994	2017-06-07 20:10	1	B
570619229	2017-06-07 22:29	2	B
972127523	2017-06-08 00:09	3	C
463672014	2017-06-08 02:25	3	C
644680714	2017-06-08 02:42	3	C
773291555	2017-06-08 03:32	2	C
913046978	2017-06-08 04:48	1	A
757519899	2017-06-08 06:03	4	B
601071162	2017-06-08 06:19	5	C
751080209	2017-06-08 08:29	1	C
557059595	2017-06-08 09:08	2	A
919448492	2017-06-08 09:34	6	A
630181135	2017-06-08 09:59	1	B
921394114	2017-06-08 11:29	2	B
687213103	2017-06-08 13:38	6	C
670854717	2017-06-08 15:00	1	A
882751328	2017-06-08 15:20	1	C
885343232	2017-06-08 15:24	6	B
507120351	2017-06-08 16:26	6	C
529069571	2017-06-08 17:45	3	C
735284701	2017-06-08 19:43	3	A
798064543	2017-06-08 20:19	5	A
435583833	2017-06-08 21:45	5	B
500093166	2017-06-09 00:07	3	B
543967501	2017-06-09 00:54	1	C
714435879	2017-06-09 02:06	1	C
906814093	2017-06-09 02:40	1	C
721523987	2017-06-09 03:40	3	C
574453310	2017-06-09 04:48	4	A
918128702	2017-06-09 06:28	5	B
700495086	2017-06-09 07:48	3	C
812963280	2017-06-09 10:11	4	C
966891570	2017-06-09 10:39	6	A
798172945	2017-06-09 11:25	1	A
771900851	2017-06-09 13:08	3	B
510545620	2017-06-09 13:10	1	B
700904288	2017-06-09 15:00	3	A
465117230	2017-06-09 15:01	2	C
761865210	2017-06-09 15:12	1	B
610753756	2017-06-09 16:34	2	C
821599246	2017-06-09 17:20	4	C
767455643	2017-06-09 18:50	1	A
642498400	2017-06-09 18:53	1	C
528251644	2017-06-09 19:05	3	A
523119994	2017-06-09 21:15	6	B
660369247	2017-06-09 21:22	4	B
646331178	2017-06-09 21:58	2	C
436204880	2017-06-09 22:54	4	C
816898273	2017-06-10 00:23	1	C
779057265	2017-06-10 00:55	6	C
927675902	2017-06-10 02:37	2	A
820747074	2017-06-10 03:01	4	B
475050084	2017-06-10 05:22	6	C
668665435	2017-06-10 05:41	3	C
419466934	2017-06-10 05:52	2	A
740131554	2017-06-10 08:05	3	A
968215037	2017-06-10 08:58	4	B
904947298	2017-06-10 09:04	6	B
462228046	2017-06-10 10:05	3	C
697564855	2017-06-10 11:00	1	C
794124811	2017-06-10 11:50	2	C
441107239	2017-06-10 15:00	4	A
798722777	2017-06-10 15:04	2	B
517627557	2017-06-10 15:34	1	C
872033418	2017-06-10 16:25	6	A
495040348	2017-06-10 17:50	5	A
419882797	2017-06-10 19:58	1	B
825637637	2017-06-10 20:16	5	B
718456326	2017-06-10 21:31	6	C
460435412	2017-06-10 21:42	6	C
839267743	2017-06-10 23:45	6	C
449142117	2017-06-11 00:35	5	C
527844169	2017-06-11 01:15	4	A
604155508	2017-06-11 02:35	6	B
962590136	2017-06-11 04:39	5	C
846230088	2017-06-11 06:56	4	C
636707278	2017-06-11 08:13	5	A
944317998	2017-06-11 09:16	4	A
846541390	2017-06-11 11:14	6	B
698351117	2017-06-11 13:31	3	B
605832809	2017-06-11 13:33	5	C
404737060	2017-06-11 14:56	3	C
805081789	2017-06-11 15:00	6	A
689388014	2017-06-11 15:14	2	C
524879436	2017-06-11 16:11	4	B
609352116	2017-06-11 17:10	5	C
593482135	2017-06-11 19:08	4	A
728115576	2017-06-11 20:27	2	A
934648980	2017-06-11 22:42	4	B
812072906	2017-06-12 00:25	6	B
843107580	2017-06-12 02:45	1	C
975779685	2017-06-12 04:51	6	C
653453675	2017-06-12 05:13	1	C
496232896	2017-06-12 06:42	1	C
751883596	2017-06-12 09:03	3	A
484574935	2017-06-12 10:16	2	B
536189964	2017-06-12 12:30	1	C
679343086	2017-06-12 13:04	6	C
896103695	2017-06-12 15:00	1	A
412803978	2017-06-12 15:04	1	A
811590408	2017-06-12 15:04	6	A
798938539	2017-06-12 15:30	3	B
425335678	2017-06-12 16:30	5	B
893512481	2017-06-12 16:59	2	B
645353548	2017-06-12 17:31	2	C
701993774	2017-06-12 18:46	1	C
613763321	2017-06-12 19:15	3	C
906559419	2017-06-12 19:37	3	A
681262134	2017-06-12 20:26	3	A
929243652	2017-06-12 21:10	6	C
465705702	2017-06-12 21:29	3	B
615107468	2017-06-12 22:40	2	B
460212095	2017-06-13 00:45	2	C
794880983	2017-06-13 03:03	1	C
728243775	2017-06-13 04:15	5	C
710852929	2017-06-13 04:32	5	C
985112779	2017-06-13 05:02	2	A
738108088	2017-06-13 06:44	2	B
925603884	2017-06-13 09:03	5	C
572391606	2017-06-13 09:46	6	C
496184543	2017-06-13 11:10	2	A
559784246	2017-06-13 12:10	2	A
530306219	2017-06-13 14:02	3	B
409676474	2017-06-13 15:00	2	A
952599256	2017-06-13 15:11	3	B
936781881	2017-06-13 15:58	5	B
673529227	2017-06-13 17:02	5	C
659135677	2017-06-13 17:13	4	C
796246589	2017-06-13 17:40	4	C
598931617	2017-06-13 18:26	4	A
982060318	2017-06-13 18:46	5	A
835377102	2017-06-13 19:01	1	C
519979651	2017-06-13 19:21	5	B
534737961	2017-06-13 19:44	6	B
705718882	2017-06-13 21:24	6	C
595516050	2017-06-13 22:19	1	C
519316751	2017-06-13 22:54	2	C
719723252	2017-06-13 23:30	5	C
696025411	2017-06-14 00:17	5	A
764318495	2017-06-14 01:40	6	B
799652843	2017-06-14 03:03	4	C
623435953	2017-06-14 04:08	6	C
515186561	2017-06-14 05:41	5	A
462563814	2017-06-14 07:48	4	A
498650781	2017-06-14 09:48	6	B
407116397	2017-06-14 10:48	4	B
697428751	2017-06-14 12:03	4	C
608045091	2017-06-14 12:35	4	C
809699339	2017-06-14 14:43	5	C
559851251	2017-06-14 15:00	5	A
431119249	2017-06-14 15:11	3	B
661901566	2017-06-14 16:49	1	C
439555419	2017-06-14 17:12	2	A
625035596	2017-06-14 18:14	1	A
837678790	2017-06-14 18:18	4	B
559770051	2017-06-14 19:29	1	B
680448330	2017-06-14 20:22	2	C
479757892	2017-06-14 20:37	1	C
530889287	2017-06-14 21:00	3	C
426890437	2017-06-14 21:09	1	C
504858112	2017-06-14 22:00	5	A
608447733	2017-06-14 22:02	6	B
656698180	2017-06-14 23:38	1	C
701517169	2017-06-15 01:04	5	C
952431770	2017-06-15 02:57	2	A
560430160	2017-06-15 04:38	5	A
819580840	2017-06-15 05:36	1	B
932547507	2017-06-15 06:11	5	B
479916388	2017-06-15 07:04	5	C
878354280	2017-06-15 07:22	2	C
461093501	2017-06-15 08:57	3	C
916603924	2017-06-15 15:00	5	A
522797072	2017-06-15 15:16	2	B
593855201	2017-06-15 16:18	1	C
925359973	2017-06-15 18:28	4	A
444165941	2017-06-15 18:55	3	A
427122369	2017-06-15 19:17	6	B
930918717	2017-06-15 21:20	5	B
871314398	2017-06-15 23:01	4	C
473562405	2017-06-16 01:12	6	C
893093844	2017-06-16 01:31	2	C
474698225	2017-06-16 02:09	5	C
516996097	2017-06-16 02:24	2	A
417471731	2017-06-16 02:39	1	B
757519899	2017-06-16 02:41	6	C
601071162	2017-06-16 04:07	2	C
751080209	2017-06-16 04:09	5	A
557059595	2017-06-16 05:29	4	A
919448492	2017-06-16 05:48	5	B
630181135	2017-06-16 06:30	3	B
921394114	2017-06-16 06:50	1	C
687213103	2017-06-16 09:06	5	C
882751328	2017-06-16 09:46	5	C
507120351	2017-06-16 15:00	1	A
670854717	2017-06-16 16:12	5	B
885343232	2017-06-16 17:41	2	C
529069571	2017-06-16 19:34	2	A
735284701	2017-06-16 21:16	2	A
798064543	2017-06-16 22:34	4	B
435583833	2017-06-17 00:28	3	B
500093166	2017-06-17 00:43	1	C
543967501	2017-06-17 02:14	4	C
669382522	2017-06-17 02:32	2	C
565740827	2017-06-17 02:44	3	C
518345979	2017-06-17 04:03	6	A
967058649	2017-06-17 06:11	3	B
711018966	2017-06-17 08:16	4	C
583851529	2017-06-17 08:24	3	C
479192587	2017-06-17 09:16	6	A
781050014	2017-06-17 10:47	4	A
955526833	2017-06-17 11:22	2	B
824946602	2017-06-17 13:44	2	B
914754460	2017-06-17 15:00	4	A
984263398	2017-06-17 16:03	3	C
537759665	2017-06-17 16:14	2	C
884539653	2017-06-17 16:21	2	C
834093261	2017-06-17 17:18	6	B
946208039	2017-06-17 19:05	6	C
735579992	2017-06-17 20:32	2	A
401589928	2017-06-17 22:02	5	A
428045916	2017-06-17 22:14	5	B
695423483	2017-06-17 23:51	4	B
627101820	2017-06-17 23:58	6	C
818755010	2017-06-18 01:02	3	C
792728923	2017-06-18 02:27	1	C
909240656	2017-06-18 03:34	1	C
492606383	2017-06-18 04:43	5	A
486085202	2017-06-18 05:18	4	B
515918497	2017-06-18 06:05	6	C
770920270	2017-06-18 07:32	3	C
408286014	2017-06-18 08:15	6	A
413860491	2017-06-18 09:16	2	A
960221718	2017-06-18 11:06	4	B
816997835	2017-06-18 11:34	3	B
541568429	2017-06-18 12:14	1	C
675956854	2017-06-18 14:35	1	C
726692867	2017-06-18 14:55	4	C
493740160	2017-06-18 15:00	2	A
963106930	2017-06-18 15:23	4	B
500493087	2017-06-18 16:16	1	C
529505463	2017-06-18 18:38	4	A
861876313	2017-06-18 18:53	3	A
653112506	2017-06-18 21:12	1	B
735451622	2017-06-18 23:10	4	B
550233385	2017-06-19 00:03	1	C
404217298	2017-06-19 02:15	1	C
760909607	2017-06-19 03:50	2	C
440613823	2017-06-19 04:04	6	C
916131748	2017-06-19 04:49	6	A
549330330	2017-06-19 06:15	6	B
806139906	2017-06-19 07:14	2	C
404506819	2017-06-19 09:14	2	C
701388738	2017-06-19 10:46	3	A
601427302	2017-06-19 11:31	6	A
787796374	2017-06-19 13:52	4	B
931343099	2017-06-19 15:00	3	A
898172352	2017-06-19 16:08	3	B
470661072	2017-06-19 16:36	3	B
778793704	2017-06-19 18:21	5	C
539695383	2017-06-19 18:31	6	C
924469119	2017-06-19 19:42	6	A
407112250	2017-06-19 20:37	6	A
561799490	2017-06-19 20:40	3	C
880057390	2017-06-19 21:12	5	B
596690200	2017-06-19 22:41	4	B
583008745	2017-06-19 22:50	1	C
792826733	2017-06-20 00:01	5	C
824997804	2017-06-20 00:45	5	C
753519338	2017-06-20 02:11	6	C
484679513	2017-06-20 03:11	6	C
821503911	2017-06-20 04:09	5	A
630426575	2017-06-20 05:41	6	B
464229154	2017-06-20 08:01	5	C
832645975	2017-06-20 08:36	3	C
622659709	2017-06-20 08:53	2	A
693582611	2017-06-20 09:41	1	A
957135320	2017-06-20 09:42	3	B
834167039	2017-06-20 10:29	1	B
893563189	2017-06-20 12:33	3	C
497263087	2017-06-20 14:46	6	C
641591546	2017-06-20 15:00	6	A
735248382	2017-06-20 16:17	1	B
813642783	2017-06-20 16:39	2	C
481225108	2017-06-20 18:13	4	C
886148315	2017-06-20 18:31	6	A
917611564	2017-06-20 20:43	5	A
894305320	2017-06-20 22:19	4	B
564950498	2017-06-20 22:49	6	B
951599875	2017-06-20 23:34	5	C
939802576	2017-06-21 00:49	1	C
519234737	2017-06-21 01:20	1	C
558056442	2017-06-21 02:27	2	C
470369511	2017-06-21 03:49	6	A
506413530	2017-06-21 03:50	2	B
445000794	2017-06-21 03:51	2	C
877486007	2017-06-21 04:43	3	C
841132434	2017-06-21 05:29	2	A
649331617	2017-06-21 05:51	3	A
749334956	2017-06-21 06:14	4	B
863289533	2017-06-21 08:17	1	B
607512980	2017-06-21 08:25	4	C
429775040	2017-06-21 08:33	3	C
461899668	2017-06-21 09:42	1	C
526857160	2017-06-21 15:00	4	A
863358985	2017-06-21 16:28	1	B
985645574	2017-06-21 17:49	1	C
424565017	2017-06-21 18:12	5	A
454582442	2017-06-21 19:11	3	A
696905596	2017-06-21 20:33	2	B
948676112	2017-06-21 22:01	3	B
514312745	2017-06-21 22:24	6	C
748231234	2017-06-21 22:30	4	C
959320060	2017-06-22 00:33	3	C
968851363	2017-06-22 02:28	4	C
598697955	2017-06-22 02:59	1	A
749077759	2017-06-22 03:51	2	B
861023707	2017-06-22 04:56	4	C
567030780	2017-06-22 06:06	4	C
838569295	2017-06-22 06:45	3	A
899769065	2017-06-22 07:04	5	A
417877992	2017-06-22 07:36	4	B
808442845	2017-06-22 07:50	2	B
938251806	2017-06-22 08:57	4	C
618200981	2017-06-22 10:19	1	C
493169743	2017-06-22 11:17	1	C
757909385	2017-06-22 15:00	1	A
734155720	2017-06-22 17:00	6	B
647356857	2017-06-22 19:11	1	C
903092306	2017-06-22 19:48	2	A
448207297	2017-06-22 21:47	2	A
837997596	2017-06-22 21:53	6	B
862738873	2017-06-22 23:19	4	B
783287152	2017-06-23 01:12	1	C
475338338	2017-06-23 02:41	4	C
526315496	2017-06-23 03:58	2	C
948239076	2017-06-23 03:58	4	C
804399102	2017-06-23 04:47	2	A
975772949	2017-06-23 05:28	4	B
586938473	2017-06-23 05:48	1	C
794678287	2017-06-23 07:56	3	C
973105649	2017-06-23 09:18	5	A
532752868	2017-06-23 10:46	2	A
881862064	2017-06-23 12:10	1	B
767574622	2017-06-23 12:33	6	B
500646455	2017-06-23 13:11	4	C
679376843	2017-06-23 14:27	4	C
964667885	2017-06-23 15:00	5	A
428277131	2017-06-23 15:04	1	C
629619430	2017-06-23 16:27	2	B
929921466	2017-06-23 17:16	3	C
612102741	2017-06-23 17:54	6	A
853511075	2017-06-23 18:59	1	A
968679923	2017-06-23 20:51	5	B
429700474	2017-06-23 21:53	1	B
427584666	2017-06-23 23:21	2	C
588094672	2017-06-24 00:03	2	C
447241564	2017-06-24 01:43	6	C
804301225	2017-06-24 03:42	3	C
701495440	2017-06-24 05:03	6	A
770924109	2017-06-24 06:57	4	B
728413307	2017-06-24 08:22	4	C
713470056	2017-06-24 09:11	6	C
617700138	2017-06-24 09:55	1	A
886876289	2017-06-24 10:44	4	A
550424375	2017-06-24 11:40	4	B
787165065	2017-06-24 13:21	2	B
717620954	2017-06-24 14:50	3	C
581807714	2017-06-24 15:00	3	A
445608302	2017-06-24 16:24	4	C
947890453	2017-06-24 16:39	6	B
523469687	2017-06-24 18:39	5	C
957227968	2017-06-24 18:55	5	C
716938595	2017-06-24 19:29	1	A
631227933	2017-06-24 20:45	4	A
969444620	2017-06-24 21:28	3	B
680319208	2017-06-24 23:14	4	B
605621608	2017-06-25 01:02	5	C
499798549	2017-06-25 01:47	5	C
603806238	2017-06-25 03:58	3	C
749198114	2017-06-25 05:01	2	C
855588685	2017-06-25 06:58	1	A
459963498	2017-06-25 08:24	2	B
793466170	2017-06-25 10:01	6	C
682489023	2017-06-25 11:13	4	C
588237872	2017-06-25 13:02	5	A
478685636	2017-06-25 13:06	6	A
774658060	2017-06-25 13:29	3	B
837080319	2017-06-25 13:58	5	B
479746482	2017-06-25 14:20	2	C
614123855	2017-06-25 14:52	4	C
577397284	2017-06-25 15:00	1	A
631142012	2017-06-25 15:01	5	C
703777575	2017-06-25 15:13	3	B
404281537	2017-06-25 16:03	3	C
649343885	2017-06-25 18:15	6	A
595415973	2017-06-25 19:08	3	A
602349278	2017-06-25 19:20	6	B
975543950	2017-06-25 20:05	2	B
498101078	2017-06-25 21:24	4	C
534160537	2017-06-25 22:24	2	C
797540105	2017-06-25 23:54	2	C
889460614	2017-06-26 00:40	6	C
487760141	2017-06-26 01:30	3	A
743866393	2017-06-26 02:35	2	B
924684640	2017-06-26 02:48	4	C
918687751	2017-06-26 04:45	2	C
725157885	2017-06-26 04:47	2	A
727223644	2017-06-26 05:34	1	A
964088692	2017-06-26 07:27	3	B
484784828	2017-06-26 09:39	3	B
876854893	2017-06-26 10:48	4	C
626987134	2017-06-26 13:03	1	C
874070041	2017-06-26 15:00	6	A
823332945	2017-06-26 15:17	5	B
561666342	2017-06-26 15:19	3	C
962027372	2017-06-26 15:41	5	C
759085835	2017-06-26 17:20	2	A
867158012	2017-06-26 19:26	6	A
400480111	2017-06-26 21:11	5	B
625844349	2017-06-26 22:02	1	B
721591778	2017-06-26 23:48	4	C
476114766	2017-06-27 01:04	5	C
707120954	2017-06-27 02:20	6	C
525447282	2017-06-27 03:52	6	C
543692329	2017-06-27 05:31	6	A
839214824	2017-06-27 06:42	2	B
875568125	2017-06-27 08:47	1	C
663758847	2017-06-27 10:57	4	C
827186109	2017-06-27 12:10	4	A
452847668	2017-06-27 14:00	5	A
983117648	2017-06-27 14:59	6	B
760301781	2017-06-27 15:00	1	A
822001216	2017-06-27 15:55	5	B
918191592	2017-06-27 16:23	1	B
949866347	2017-06-27 17:11	3	C
816244572	2017-06-27 18:31	2	C
494435189	2017-06-27 19:34	2	A
468971163	2017-06-27 20:19	6	C
840157226	2017-06-27 20:48	2	C
584715169	2017-06-27 21:05	5	A
689059627	2017-06-27 22:39	2	B
919871667	2017-06-28 00:32	1	B
915505334	2017-06-28 01:45	6	C
759692949	2017-06-28 03:04	1	C
515476812	2017-06-28 03:24	3	C
644540269	2017-06-28 04:36	1	C
849443195	2017-06-28 05:27	5	A
573013091	2017-06-28 07:39	5	B
965204710	2017-06-28 08:20	3	C
584921385	2017-06-28 08:26	3	C
678791691	2017-06-28 10:10	1	A
510640958	2017-06-28 11:08	3	A
634369839	2017-06-28 11:15	5	B
703274814	2017-06-28 11:48	5	B
914603276	2017-06-28 13:26	4	C
949517506	2017-06-28 15:00	5	A
903593729	2017-06-28 15:21	4	B
457330652	2017-06-28 15:31	4	C
561803647	2017-06-28 16:19	1	C
655663099	2017-06-28 16:43	2	C
770030019	2017-06-28 18:07	4	A
980694107	2017-06-28 18:43	1	A
550916550	2017-06-28 19:41	3	B
502291735	2017-06-28 20:59	4	B
485153168	2017-06-28 23:21	1	C
406344491	2017-06-29 01:07	4	C
844094061	2017-06-29 01:19	2	C
567295310	2017-06-29 03:19	3	C
778979692	2017-06-29 04:02	4	A
835797514	2017-06-29 04:38	4	B
834681329	2017-06-29 04:52	2	C
513633872	2017-06-29 05:59	5	C
968455120	2017-06-29 06:29	4	A
709904329	2017-06-29 07:30	5	A
742749055	2017-06-29 08:10	1	B
873302120	2017-06-29 10:15	2	B
927314137	2017-06-29 10:53	4	C
747958808	2017-06-29 11:59	5	C
499041184	2017-06-29 12:44	6	C
415759916	2017-06-29 15:00	6	A
958820600	2017-06-29 16:07	1	B
955079255	2017-06-29 17:40	4	C
548034509	2017-06-29 19:32	5	A
468911119	2017-06-29 20:52	4	A
547559371	2017-06-29 22:00	6	B
753662180	2017-06-30 00:03	6	B
974871484	2017-06-30 01:11	3	C
820562194	2017-06-30 03:03	6	C
810733404	2017-06-30 03:36	1	C
512058109	2017-06-30 04:25	6	C
846923988	2017-06-30 05:37	3	A
663959819	2017-06-30 05:46	4	B
538645328	2017-06-30 06:47	2	C
713314488	2017-06-30 08:31	6	C
722823431	2017-06-30 09:50	5	A
574732359	2017-06-30 11:12	6	A
686718630	2017-06-30 13:05	5	B
458852918	2017-06-30 13:45	4	B
927014105	2017-06-30 15:00	3	A
787700181	2017-06-30 15:59	5	B
621460025	2017-06-30 16:04	4	C
720910870	2017-06-30 16:19	1	C
644763133	2017-06-30 16:34	3	C
914374164	2017-06-30 17:39	1	C
838782455	2017-06-30 18:44	2	A
610551165	2017-06-30 20:38	5	A
569386520	2017-06-30 22:08	4	B
688186998	2017-07-01 00:31	3	B
856457375	2017-07-01 01:10	3	C
977940880	2017-07-01 01:30	5	C
664727188	2017-07-01 01:50	5	C
577388655	2017-07-01 02:46	6	C
542611566	2017-07-01 03:41	6	A
448722502	2017-07-01 05:32	4	B
768531974	2017-07-01 07:20	5	C
412860843	2017-07-01 09:23	5	C
929981201	2017-07-01 10:06	4	A
952183510	2017-07-01 11:09	6	A
416932832	2017-07-01 11:28	6	B
476020352	2017-07-01 13:30	5	B
748098707	2017-07-01 14:03	6	C
557581462	2017-07-01 14:26	2	C
557237983	2017-07-01 15:00	1	A
555191112	2017-07-01 15:25	5	C
975513406	2017-07-01 15:25	3	B
493039952	2017-07-01 16:33	4	C
880629729	2017-07-01 17:53	1	A
822938429	2017-07-01 18:19	5	A
498923616	2017-07-01 19:24	2	B
953942791	2017-07-01 20:21	4	B
696795823	2017-07-01 20:58	4	C
901529347	2017-07-01 22:55	2	C
852767608	2017-07-01 23:49	5	C
757519899	2017-07-02 01:15	5	C
601071162	2017-07-02 02:53	6	A
751080209	2017-07-02 03:39	2	B
557059595	2017-07-02 04:06	1	C
919448492	2017-07-02 04:32	2	C
630181135	2017-07-02 05:09	5	A
921394114	2017-07-02 07:14	5	A
687213103	2017-07-02 07:27	3	B
882751328	2017-07-02 08:26	6	B
507120351	2017-07-02 10:09	5	C
670854717	2017-07-02 10:33	4	C
885343232	2017-07-02 11:03	3	C
529069571	2017-07-02 15:00	1	A
735284701	2017-07-02 15:21	4	B
798064543	2017-07-02 16:38	1	C
435583833	2017-07-02 17:51	4	A
543967501	2017-07-02 18:32	6	B
939906147	2017-07-02 18:33	5	B
814472522	2017-07-02 20:04	1	C
731111880	2017-07-02 20:11	4	C
920922349	2017-07-02 22:06	4	C
428883753	2017-07-02 23:09	1	C
728014399	2017-07-03 00:12	3	A
506690392	2017-07-03 01:57	4	B
637570577	2017-07-03 03:22	1	C
567127307	2017-07-03 04:04	1	C
444644136	2017-07-03 04:15	2	A
724209549	2017-07-03 05:53	6	A
815368401	2017-07-03 06:52	6	B
967506910	2017-07-03 07:16	2	B
452151520	2017-07-03 09:03	6	C
604505177	2017-07-03 09:55	1	C
437562975	2017-07-03 10:04	1	C
665376167	2017-07-03 15:00	2	A
407375712	2017-07-03 16:57	6	B
969001769	2017-07-03 18:19	4	C
528365223	2017-07-03 18:25	2	A
871586869	2017-07-03 18:25	4	A
837060230	2017-07-03 18:57	4	B
613083593	2017-07-03 20:11	2	B
484194933	2017-07-03 21:32	3	C
483673327	2017-07-03 23:50	1	C
921623541	2017-07-04 00:31	2	C
573003150	2017-07-04 01:26	5	C
759334843	2017-07-04 01:52	1	A
441890610	2017-07-04 03:06	6	B
450381949	2017-07-04 03:27	3	C
959792783	2017-07-04 04:07	2	C
584223695	2017-07-04 06:22	4	A
889842337	2017-07-04 08:23	6	A
558899851	2017-07-04 08:54	2	B
782286417	2017-07-04 09:57	5	B
554264262	2017-07-04 12:15	2	C
431790392	2017-07-04 12:55	2	C
870257220	2017-07-04 15:00	1	A
985026273	2017-07-04 15:01	4	C
667405126	2017-07-04 15:38	6	B
928432010	2017-07-04 15:47	6	C
857923196	2017-07-04 16:14	4	A
577117328	2017-07-04 17:54	2	A
714213082	2017-07-04 19:26	4	B
757347923	2017-07-04 19:50	3	B
955404635	2017-07-04 20:50	2	C
967088504	2017-07-04 22:53	6	C
703114883	2017-07-05 00:32	2	C
948726368	2017-07-05 00:35	2	C
639327484	2017-07-05 02:14	4	A
976815268	2017-07-05 04:33	1	B
952071267	2017-07-05 06:12	4	C
779515891	2017-07-05 08:33	3	C
